State,County,City,Date Local,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
New York,Bronx,New York,5/5/2000,42.5,60,22,57,0.018417,0.036,10,31,8.8,15,23,21,0.866667,2.3,23,
New York,Bronx,New York,5/5/2000,42.5,60,22,57,0.018417,0.036,10,31,8.8,15,23,21,0.7875,1.1,23,13
New York,Bronx,New York,5/5/2000,42.5,60,22,57,0.018417,0.036,10,31,9.6,9.6,23,,0.866667,2.3,23,
New York,Bronx,New York,5/5/2000,42.5,60,22,57,0.018417,0.036,10,31,9.6,9.6,23,,0.7875,1.1,23,13
New York,Bronx,New York,5/6/2000,42.875,82,20,81,0.034333,0.065,10,67,9.5,26,2,37,1.1875,3.4,1,
New York,Bronx,New York,5/6/2000,42.875,82,20,81,0.034333,0.065,10,67,9.5,26,2,37,1.195833,2.1,5,24
New York,Bronx,New York,5/6/2000,42.875,82,20,81,0.034333,0.065,10,67,9.4625,20.6,2,,1.1875,3.4,1,
New York,Bronx,New York,5/6/2000,42.875,82,20,81,0.034333,0.065,10,67,9.4625,20.6,2,,1.195833,2.1,5,24
New York,Bronx,New York,5/7/2000,29,56,7,53,0.036583,0.069,10,80,7.041667,21,6,30,0.720833,1.5,7,
New York,Bronx,New York,5/7/2000,29,56,7,53,0.036583,0.069,10,80,7.041667,21,6,30,0.8375,1.3,0,15
New York,Bronx,New York,5/7/2000,29,56,7,53,0.036583,0.069,10,80,7,17.3,8,,0.720833,1.5,7,
New York,Bronx,New York,5/7/2000,29,56,7,53,0.036583,0.069,10,80,7,17.3,8,,0.8375,1.3,0,15
New York,Bronx,New York,5/8/2000,49.958333,87,20,86,0.02775,0.057,10,48,12.045455,26,6,37,0.995455,1.8,21,
New York,Bronx,New York,5/8/2000,49.958333,87,20,86,0.02775,0.057,10,48,12.045455,26,6,37,0.916667,1.2,23,14
New York,Bronx,New York,5/8/2000,49.958333,87,20,86,0.02775,0.057,10,48,12.316667,24.3,8,,0.995455,1.8,21,
New York,Bronx,New York,5/8/2000,49.958333,87,20,86,0.02775,0.057,10,48,12.316667,24.3,8,,0.916667,1.2,23,14
New York,Bronx,New York,5/9/2000,36.619048,55,7,52,0.042125,0.066,10,71,9.666667,19,1,27,0.708333,1,7,
New York,Bronx,New York,5/9/2000,36.619048,55,7,52,0.042125,0.066,10,71,9.666667,19,1,27,0.795833,1.2,0,14
New York,Bronx,New York,5/9/2000,36.619048,55,7,52,0.042125,0.066,10,71,9.6375,17.3,2,,0.708333,1,7,
New York,Bronx,New York,5/9/2000,36.619048,55,7,52,0.042125,0.066,10,71,9.6375,17.3,2,,0.795833,1.2,0,14
New York,Bronx,New York,5/10/2000,19.708333,34,1,32,0.017542,0.026,9,22,2.958333,6,0,9,0.504167,0.6,0,
New York,Bronx,New York,5/10/2000,19.708333,34,1,32,0.017542,0.026,9,22,2.958333,6,0,9,0.533333,0.7,0,8
New York,Bronx,New York,5/10/2000,19.708333,34,1,32,0.017542,0.026,9,22,2.925,4.6,2,,0.504167,0.6,0,
New York,Bronx,New York,5/10/2000,19.708333,34,1,32,0.017542,0.026,9,22,2.925,4.6,2,,0.533333,0.7,0,8
New York,Bronx,New York,5/11/2000,24.25,46,23,43,0.019,0.036,8,31,4.958333,10,20,14,0.5625,0.7,6,
New York,Bronx,New York,5/11/2000,24.25,46,23,43,0.019,0.036,8,31,4.958333,10,20,14,0.566667,0.6,1,7
New York,Bronx,New York,5/11/2000,24.25,46,23,43,0.019,0.036,8,31,4.9375,8.6,23,,0.5625,0.7,6,
New York,Bronx,New York,5/11/2000,24.25,46,23,43,0.019,0.036,8,31,4.9375,8.6,23,,0.566667,0.6,1,7
New York,Bronx,New York,5/12/2000,30.291667,49,1,46,0.017333,0.027,12,23,3.75,8,0,11,0.6875,1,7,
New York,Bronx,New York,5/12/2000,30.291667,49,1,46,0.017333,0.027,12,23,3.75,8,0,11,0.691667,0.8,6,9
New York,Bronx,New York,5/12/2000,30.291667,49,1,46,0.017333,0.027,12,23,3.7125,6.6,2,,0.6875,1,7,
New York,Bronx,New York,5/12/2000,30.291667,49,1,46,0.017333,0.027,12,23,3.7125,6.6,2,,0.691667,0.8,6,9
New York,Bronx,New York,5/13/2000,20.125,38,22,36,0.02425,0.031,12,26,3.416667,6,20,9,0.625,1.3,22,
New York,Bronx,New York,5/13/2000,20.125,38,22,36,0.02425,0.031,12,26,3.416667,6,20,9,0.6125,0.8,23,9
New York,Bronx,New York,5/13/2000,20.125,38,22,36,0.02425,0.031,12,26,3.3875,5,23,,0.625,1.3,22,
New York,Bronx,New York,5/13/2000,20.125,38,22,36,0.02425,0.031,12,26,3.3875,5,23,,0.6125,0.8,23,9
New York,Bronx,New York,5/14/2000,20.791667,49,21,46,0.031375,0.042,10,36,5.125,8,21,11,0.533333,0.9,21,
