State,City,NO2_Mean,NO2_1st_Max_Value,NO2_AQI,O3_Mean,O3_1st_Max_Value,O3_AQI,SO2_Mean,SO2_1st_Max_Value,SO2_AQI,CO_Mean,CO_1st_Max_Value,CO_AQI
New Jersey,Camden,24.25,31,29,0.003208,0.005,4,15.583333,39,55,1.145833,2.6,
New Jersey,Camden,24.25,31,29,0.003208,0.005,4,15.583333,39,55,1,1.8,20
New Jersey,Camden,24.25,31,29,0.003208,0.005,4,15.55,34,,1.145833,2.6,
New Jersey,Camden,24.25,31,29,0.003208,0.005,4,15.55,34,,1,1.8,20
New Jersey,Camden,22.041667,38,36,0.021292,0.035,30,8.583333,13,19,1.3125,2.8,
New Jersey,Camden,22.041667,38,36,0.021292,0.035,30,8.583333,13,19,1.554167,2.5,28
New Jersey,Camden,22.041667,38,36,0.021292,0.035,30,8.55,12,,1.3125,2.8,
New Jersey,Camden,22.041667,38,36,0.021292,0.035,30,8.55,12,,1.554167,2.5,28
New Jersey,Camden,23.73913,38,36,0.012333,0.023,19,11.565217,29,41,0.934783,3.4,
New Jersey,Camden,23.73913,38,36,0.012333,0.023,19,11.565217,29,41,0.8875,1.7,19
New Jersey,Camden,23.73913,38,36,0.012333,0.023,19,10.885714,21.6,,0.934783,3.4,
New Jersey,Camden,23.73913,38,36,0.012333,0.023,19,10.885714,21.6,,0.8875,1.7,19
New Jersey,Camden,14,25,24,0.0195,0.026,22,2.333333,5,7,0.463636,0.7,
New Jersey,Camden,14,25,24,0.0195,0.026,22,2.333333,5,7,0.533333,1.3,15
New Jersey,Camden,14,25,24,0.0195,0.026,22,2.3,4.6,,0.463636,0.7,
New Jersey,Camden,14,25,24,0.0195,0.026,22,2.3,4.6,,0.533333,1.3,15
New Jersey,Camden,10,11,10,0.016292,0.027,23,3.166667,7,10,0.458333,0.8,
New Jersey,Camden,10,11,10,0.016292,0.027,23,3.166667,7,10,0.420833,0.6,7
New Jersey,Camden,10,11,10,0.016292,0.027,23,3.1375,6,,0.458333,0.8,
New Jersey,Camden,10,11,10,0.016292,0.027,23,3.1375,6,,0.420833,0.6,7
New Jersey,Camden,19.454545,25,24,0.008375,0.015,13,11.375,40,56,0.983333,2.2,
New Jersey,Camden,19.454545,25,24,0.008375,0.015,13,11.375,40,56,1.079167,1.8,20
New Jersey,Camden,19.454545,25,24,0.008375,0.015,13,11.325,37.6,,0.983333,2.2,
New Jersey,Camden,19.454545,25,24,0.008375,0.015,13,11.325,37.6,,1.079167,1.8,20
New Jersey,Camden,24.333333,30,28,0.007542,0.016,14,10.625,18,26,0.675,1.5,
New Jersey,Camden,24.333333,30,28,0.007542,0.016,14,10.625,18,26,0.666667,0.8,9
New Jersey,Camden,24.333333,30,28,0.007542,0.016,14,10.5875,15.3,,0.675,1.5,
