State,County,City,Date Local,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
New York,Suffolk,Holtsville,1/1/2000,21,28,0,26,0.006667,0.013,12,11,11.208333,20,6,29,0.75,2.3,0,
New York,Suffolk,Holtsville,1/1/2000,21,28,0,26,0.006667,0.013,12,11,11.208333,20,6,29,0.7,2,5,23
New York,Suffolk,Holtsville,1/1/2000,21,28,0,26,0.006667,0.013,12,11,11.1625,15.6,2,,0.75,2.3,0,
New York,Suffolk,Holtsville,1/1/2000,21,28,0,26,0.006667,0.013,12,11,11.1625,15.6,2,,0.7,2,5,23
New York,Suffolk,Holtsville,1/2/2000,14.291667,27,7,25,0.034333,0.049,14,42,6.75,12,5,17,0.245833,1.1,2,
New York,Suffolk,Holtsville,1/2/2000,14.291667,27,7,25,0.034333,0.049,14,42,6.75,12,5,17,0.2875,0.6,3,7
New York,Suffolk,Holtsville,1/2/2000,14.291667,27,7,25,0.034333,0.049,14,42,6.725,10,5,,0.245833,1.1,2,
New York,Suffolk,Holtsville,1/2/2000,14.291667,27,7,25,0.034333,0.049,14,42,6.725,10,5,,0.2875,0.6,3,7
New York,Suffolk,Holtsville,1/3/2000,23.173913,34,17,32,0.012833,0.029,0,25,6.272727,12,11,17,0.2,0.9,18,
New York,Suffolk,Holtsville,1/3/2000,23.173913,34,17,32,0.012833,0.029,0,25,6.272727,12,11,17,0.204167,0.4,18,5
New York,Suffolk,Holtsville,1/3/2000,23.173913,34,17,32,0.012833,0.029,0,25,5.55,7,20,,0.2,0.9,18,
New York,Suffolk,Holtsville,1/3/2000,23.173913,34,17,32,0.012833,0.029,0,25,5.55,7,20,,0.204167,0.4,18,5
New York,Suffolk,Holtsville,1/4/2000,12.75,22,17,21,0.025625,0.029,1,25,2.875,6,21,9,0.266667,0.3,0,
New York,Suffolk,Holtsville,1/4/2000,12.75,22,17,21,0.025625,0.029,1,25,2.875,6,21,9,0.283333,0.4,0,5
New York,Suffolk,Holtsville,1/4/2000,12.75,22,17,21,0.025625,0.029,1,25,2.85,5,23,,0.266667,0.3,0,
New York,Suffolk,Holtsville,1/4/2000,12.75,22,17,21,0.025625,0.029,1,25,2.85,5,23,,0.283333,0.4,0,5
New York,Suffolk,Holtsville,1/5/2000,9.25,28,23,26,0.024917,0.035,9,30,4.291667,8,23,11,0.083333,0.2,23,
New York,Suffolk,Holtsville,1/5/2000,9.25,28,23,26,0.024917,0.035,9,30,4.291667,8,23,11,0.129167,0.3,0,3
