State,City,NO2_Mean,NO2_1st_Max_Value,NO2_AQI,O3_Mean,O3_1st_Max_Value,O3_AQI,SO2_Mean,SO2_1st_Max_Value,SO2_AQI,CO_Mean,CO_1st_Max_Value,CO_AQI
New Jersey,Newark,29.416667,52,49,0.021875,0.039,33,2.1,4,6,0.283333,1.1,
New Jersey,Newark,29.416667,52,49,0.021875,0.039,33,2.1,4,6,0.270833,0.6,7
New Jersey,Newark,29.416667,52,49,0.021875,0.039,33,1.866667,2,,0.283333,1.1,
New Jersey,Newark,29.416667,52,49,0.021875,0.039,33,1.866667,2,,0.270833,0.6,7
New Jersey,Newark,22.75,44,42,0.038458,0.065,67,3.791667,14,20,0.225,0.5,
New Jersey,Newark,22.75,44,42,0.038458,0.065,67,3.791667,14,20,0.2125,0.3,3
New Jersey,Newark,22.75,44,42,0.038458,0.065,67,3.7625,9.3,,0.225,0.5,
New Jersey,Newark,22.75,44,42,0.038458,0.065,67,3.7625,9.3,,0.2125,0.3,3
New Jersey,Newark,25.291667,54,51,0.032708,0.06,51,6.166667,15,21,0.241667,0.6,
New Jersey,Newark,25.291667,54,51,0.032708,0.06,51,6.166667,15,21,0.216667,0.4,5
New Jersey,Newark,25.291667,54,51,0.032708,0.06,51,6.125,11.6,,0.241667,0.6,
New Jersey,Newark,25.291667,54,51,0.032708,0.06,51,6.125,11.6,,0.216667,0.4,5
New Jersey,Newark,31.208333,51,48,0.037333,0.065,67,9.166667,23,33,0.370833,0.8,
New Jersey,Newark,31.208333,51,48,0.037333,0.065,67,9.166667,23,33,0.4125,0.6,7
New Jersey,Newark,31.208333,51,48,0.037333,0.065,67,9.15,16,,0.370833,0.8,
New Jersey,Newark,31.208333,51,48,0.037333,0.065,67,9.15,16,,0.4125,0.6,7
New Jersey,Newark,28.291667,47,44,0.032292,0.049,42,9.458333,66,89,0.270833,0.6,
New Jersey,Newark,28.291667,47,44,0.032292,0.049,42,9.458333,66,89,0.270833,0.4,5
New Jersey,Newark,28.291667,47,44,0.032292,0.049,42,9.4125,28.6,,0.270833,0.6,
New Jersey,Newark,28.291667,47,44,0.032292,0.049,42,9.4125,28.6,,0.270833,0.4,5
New Jersey,Newark,21.458333,54,51,0.033,0.053,45,9.875,20,29,0.170833,0.5,
New Jersey,Newark,21.458333,54,51,0.033,0.053,45,9.875,20,29,0.170833,0.3,3
New Jersey,Newark,21.458333,54,51,0.033,0.053,45,9.85,15.6,,0.170833,0.5,
New Jersey,Newark,21.458333,54,51,0.033,0.053,45,9.85,15.6,,0.170833,0.3,3
New Jersey,Newark,24.083333,61,58,0.033333,0.063,61,4.2,7,10,0.216667,0.6,
New Jersey,Newark,24.083333,61,58,0.033333,0.063,61,4.2,7,10,0.1625,0.4,5
New Jersey,Newark,24.083333,61,58,0.033333,0.063,61,4.2,5.6,,0.216667,0.6,
New Jersey,Newark,24.083333,61,58,0.033333,0.063,61,4.2,5.6,,0.1625,0.4,5
New Jersey,Newark,22.666667,37,35,0.02375,0.054,46,1.066667,2,3,0.245833,0.5,
New Jersey,Newark,22.666667,37,35,0.02375,0.054,46,1.066667,2,3,0.2625,0.4,5
New Jersey,Newark,22.666667,37,35,0.02375,0.054,46,1.06,1.3,,0.245833,0.5,
New Jersey,Newark,22.666667,37,35,0.02375,0.054,46,1.06,1.3,,0.2625,0.4,5
New Jersey,Newark,20.458333,33,31,0.017375,0.032,27,4.333333,21,30,0.179167,0.4,
New Jersey,Newark,20.458333,33,31,0.017375,0.032,27,4.333333,21,30,0.208333,0.3,3
New Jersey,Newark,20.458333,33,31,0.017375,0.032,27,4.3125,16.3,,0.179167,0.4,
New Jersey,Newark,20.458333,33,31,0.017375,0.032,27,4.3125,16.3,,0.208333,0.3,3
New Jersey,Newark,16.666667,28,26,0.021917,0.04,34,1.75,9,13,0.191667,0.6,
New Jersey,Newark,16.666667,28,26,0.021917,0.04,34,1.75,9,13,0.179167,0.3,3
New Jersey,Newark,16.666667,28,26,0.021917,0.04,34,1.75,6,,0.191667,0.6,
New Jersey,Newark,16.666667,28,26,0.021917,0.04,34,1.75,6,,0.179167,0.3,3
New Jersey,Newark,23.666667,55,52,0.021833,0.047,40,1.916667,11,16,0.329167,0.6,
New Jersey,Newark,23.666667,55,52,0.021833,0.047,40,1.916667,11,16,0.279167,0.5,6
